array_index,u_k_lambda,v_k_lambda
0,-0.024970,-0.040474
0,-0.024947,-0.040488
0,-0.024924,-0.040503
0,-0.024901,-0.040517
0,-0.024877,-0.040531
0,-0.024854,-0.040546
0,-0.024831,-0.040560
0,-0.024807,-0.040574
0,-0.024784,-0.040588
0,-0.024761,-0.040603
0,-0.024737,-0.040617
0,-0.024714,-0.040631
0,-0.024691,-0.040645
0,-0.024667,-0.040660
0,-0.024644,-0.040674
0,-0.024620,-0.040688
0,-0.024597,-0.040702
0,-0.024573,-0.040716
0,-0.024550,-0.040731
0,-0.024526,-0.040745
0,-0.024503,-0.040759
0,-0.024479,-0.040773
0,-0.024456,-0.040787
0,-0.024432,-0.040801
0,-0.024409,-0.040815
0,-0.024385,-0.040829
0,-0.024362,-0.040843
0,-0.024338,-0.040857
0,-0.024314,-0.040871
0,-0.024291,-0.040885
0,-0.024267,-0.040899
0,-0.024244,-0.040913
0,-0.024220,-0.040927
0,-0.024196,-0.040941
0,-0.024173,-0.040955
0,-0.024149,-0.040969
0,-0.024125,-0.040983
0,-0.024101,-0.040997
0,-0.024078,-0.041010
0,-0.024054,-0.041024
0,-0.024030,-0.041038
0,-0.024006,-0.041052
0,-0.023983,-0.041066
0,-0.023959,-0.041080
0,-0.006527,-0.033649
0,-0.006508,-0.033653
0,-0.006488,-0.033656
0,-0.006469,-0.033660
0,-0.006449,-0.033664
0,-0.006430,-0.033668
0,-0.006411,-0.033671
0,-0.006391,-0.033675
0,-0.006372,-0.033679
0,-0.006352,-0.033682
0,-0.006333,-0.033686
0,-0.006313,-0.033690
0,-0.006294,-0.033693
0,-0.006275,-0.033697
0,-0.006255,-0.033700
0,-0.006236,-0.033704
0,-0.006216,-0.033708
0,-0.006197,-0.033711
0,-0.006177,-0.033715
0,-0.006158,-0.033718
0,-0.006139,-0.033722
0,-0.006119,-0.033725
0,-0.006100,-0.033729
0,-0.006080,-0.033732
0,-0.006061,-0.033736
0,-0.006041,-0.033739
0,-0.006022,-0.033743
0,-0.006002,-0.033746
0,-0.005983,-0.033750
0,-0.005963,-0.033753
0,-0.005944,-0.033757
0,-0.005924,-0.033760
0,-0.005905,-0.033763
0,-0.005885,-0.033767
0,-0.005866,-0.033770
0,-0.005846,-0.033774
0,-0.005827,-0.033777
0,-0.005807,-0.033780
0,-0.005788,-0.033784
0,-0.005768,-0.033787
0,-0.005749,-0.033790
0,-0.005729,-0.033794
0,-0.005710,-0.033797
0,-0.005690,-0.033800
0,-0.079366,0.009805
0,-0.079372,0.009760
0,-0.079377,0.009714
0,-0.079383,0.009668
0,-0.079389,0.009623
0,-0.079395,0.009577
0,-0.079401,0.009531
0,-0.079407,0.009486
0,-0.079412,0.009440
0,-0.079418,0.009394
0,-0.079423,0.009348
0,-0.079429,0.009303
0,-0.079435,0.009257
0,-0.079440,0.009211
0,-0.079445,0.009165
0,-0.079451,0.009120
0,-0.079456,0.009074
0,-0.079461,0.009028
0,-0.079467,0.008982
0,-0.079472,0.008937
0,-0.079477,0.008891
0,-0.079482,0.008845
0,-0.079487,0.008799
0,-0.079492,0.008754
0,-0.079497,0.008708
0,-0.079502,0.008662
0,-0.079507,0.008616
0,-0.079512,0.008571
0,-0.079517,0.008525
0,-0.079522,0.008479
0,-0.079527,0.008433
0,-0.079531,0.008387
0,-0.079536,0.008342
0,-0.079541,0.008296
0,-0.079545,0.008250
0,-0.079550,0.008204
0,-0.079554,0.008158
0,-0.079559,0.008113
