array_index,u_k_lambda,v_k_lambda
0,0.003039,0.000095
0,0.003039,0.000097
0,0.003039,0.000099
0,0.003038,0.000100
0,0.003038,0.000102
0,0.003038,0.000104
0,0.003038,0.000106
0,0.003038,0.000107
0,0.003038,0.000109
0,0.003038,0.000111
0,0.003038,0.000113
0,0.003038,0.000114
0,0.003038,0.000116
0,0.003038,0.000118
0,0.003038,0.000120
0,0.003038,0.000121
0,0.003038,0.000123
0,0.003038,0.000125
0,0.003038,0.000127
0,0.003038,0.000128
0,0.003037,0.000130
0,0.003037,0.000132
0,0.003037,0.000134
0,0.003037,0.000135
0,0.003037,0.000137
0,0.003037,0.000139
0,0.003037,0.000141
0,0.003037,0.000142
0,0.003037,0.000144
0,0.003037,0.000146
0,0.003037,0.000148
0,0.003037,0.000149
0,0.003036,0.000151
0,0.003036,0.000153
0,0.003036,0.000155
0,0.003036,0.000156
0,0.003036,0.000158
0,0.003036,0.000160
0,0.003036,0.000162
0,0.003036,0.000163
0,0.003036,0.000165
0,0.003036,0.000167
0,0.003035,0.000169
0,0.003035,0.000170
0,0.002139,-0.001047
0,0.002140,-0.001046
0,0.002140,-0.001045
0,0.002141,-0.001043
0,0.002141,-0.001042
0,0.002142,-0.001041
0,0.002143,-0.001040
0,0.002143,-0.001038
0,0.002144,-0.001037
0,0.002144,-0.001036
0,0.002145,-0.001035
0,0.002146,-0.001033
0,0.002146,-0.001032
0,0.002147,-0.001031
0,0.002147,-0.001030
0,0.002148,-0.001029
0,0.002149,-0.001027
0,0.002149,-0.001026
0,0.002150,-0.001025
0,0.002150,-0.001024
0,0.002151,-0.001022
0,0.002152,-0.001021
0,0.002152,-0.001020
0,0.002153,-0.001019
0,0.002153,-0.001017
0,0.002154,-0.001016
0,0.002155,-0.001015
0,0.002155,-0.001014
0,0.002156,-0.001012
0,0.002156,-0.001011
0,0.002157,-0.001010
0,0.002157,-0.001009
0,0.002158,-0.001007
0,0.002159,-0.001006
0,0.002159,-0.001005
0,0.002160,-0.001004
0,0.002160,-0.001002
0,0.002161,-0.001001
0,0.002161,-0.001000
0,0.002162,-0.000999
0,0.002163,-0.000998
0,0.002163,-0.000996
0,0.002164,-0.000995
0,0.002164,-0.000994
0,0.000732,-0.000753
0,0.000733,-0.000752
0,0.000733,-0.000752
0,0.000733,-0.000751
0,0.000734,-0.000751
0,0.000734,-0.000750
0,0.000735,-0.000750
0,0.000735,-0.000750
0,0.000736,-0.000749
0,0.000736,-0.000749
0,0.000736,-0.000748
0,0.000737,-0.000748
0,0.000737,-0.000747
0,0.000738,-0.000747
0,0.000738,-0.000747
0,0.000739,-0.000746
0,0.000739,-0.000746
0,0.000740,-0.000745
0,0.000740,-0.000745
0,0.000740,-0.000745
0,0.000741,-0.000744
0,0.000741,-0.000744
0,0.000742,-0.000743
0,0.000742,-0.000743
0,0.000743,-0.000742
0,0.000743,-0.000742
0,0.000743,-0.000742
0,0.000744,-0.000741
0,0.000744,-0.000741
0,0.000745,-0.000740
0,0.000745,-0.000740
0,0.000746,-0.000739
0,0.000746,-0.000739
0,0.000746,-0.000739
0,0.000747,-0.000738
0,0.000747,-0.000738
0,0.000748,-0.000737
0,0.000748,-0.000737
0,0.000748,-0.000736
0,0.000749,-0.000736
0,0.000749,-0.000736
0,0.000750,-0.000735
0,0.000750,-0.000735
0,0.000751,-0.000734
0,0.000215,0.002435
0,0.000213,0.002435
0,0.000212,0.002436
0,0.000211,0.002436
0,0.000209,0.002436
0,0.000208,0.002436
0,0.000206,0.002436
0,0.000205,0.002436
0,0.000204,0.002436
0,0.000202,0.002436
0,0.000201,0.002436
0,0.000199,0.002437
0,0.000198,0.002437
0,0.000197,0.002437
0,0.000195,0.002437
0,0.000194,0.002437
0,0.000192,0.002437
0,0.000191,0.002437
0,0.000189,0.002437
0,0.000188,0.002437
0,0.000187,0.002438
0,0.000185,0.002438
0,0.000184,0.002438
0,0.000182,0.002438
0,0.000181,0.002438
0,0.000180,0.002438
0,0.000178,0.002438
0,0.000177,0.002438
0,0.000175,0.002438
0,0.000174,0.002439
0,0.000173,0.002439
0,0.000171,0.002439
0,0.000170,0.002439
0,0.000168,0.002439
0,0.000167,0.002439
0,0.000166,0.002439
0,0.000164,0.002439
0,0.000163,0.002439
0,0.000161,0.002439
0,0.000160,0.002439
0,0.000159,0.002440
0,0.000157,0.002440
0,0.000156,0.002440
0,0.000154,0.002440
0,0.003672,0.002164
0,0.003671,0.002166
0,0.003670,0.002168
0,0.003669,0.002171
0,0.003667,0.002173
0,0.003666,0.002175
0,0.003665,0.002177
0,0.003664,0.002179
0,0.003662,0.002181
0,0.003661,0.002183
0,0.003660,0.002185
0,0.003659,0.002187
0,0.003657,0.002190
0,0.003656,0.002192
0,0.003655,0.002194
0,0.003654,0.002196
0,0.003652,0.002198
0,0.003651,0.002200
0,0.003650,0.002202
0,0.003649,0.002204
0,0.003647,0.002206
0,0.003646,0.002208
0,0.003645,0.002211
0,0.003644,0.002213
0,0.003642,0.002215
0,0.003641,0.002217
0,0.003640,0.002219
0,0.003638,0.002221
0,0.003637,0.002223
0,0.003636,0.002225
0,0.003635,0.002227
0,0.003633,0.002229
0,0.003632,0.002232
0,0.003631,0.002234
0,0.003629,0.002236
0,0.003628,0.002238
0,0.003627,0.002240
0,0.003625,0.002242
0,0.003624,0.002244
0,0.003623,0.002246
0,0.003622,0.002248
0,0.003620,0.002250
0,0.003619,0.002252
0,0.003618,0.002254
0,0.001521,0.003171
0,0.001519,0.003172
0,0.001518,0.003172
0,0.001516,0.003173
